"Focus","Non-Focus","Off-Color Focus","Off-Color Non-Focus","Trash","OrbSpent"
11,6,1,1,288,1422
11,12,1,2,382,1903
11,4,4,3,283,1424
11,18,2,2,418,2115
11,10,4,1,411,2033
11,16,5,0,480,2405
11,10,2,3,395,1959
11,16,3,3,530,2632
11,13,4,1,420,2084
11,13,4,2,406,2031
11,19,1,1,455,2257
11,10,1,1,344,1710
11,13,0,1,325,1629
11,12,3,3,392,1988
11,5,3,5,348,1738
11,12,1,2,358,1792
11,13,0,1,265,1350
11,6,0,1,264,1298
11,15,2,1,445,2204
11,13,1,0,383,1889
11,11,0,3,347,1728
11,7,5,3,330,1677
11,18,2,2,493,2456
11,13,4,1,348,1755
11,1,0,3,142,733
11,14,2,2,359,1817
11,7,0,2,318,1574
11,13,2,2,440,2175
11,5,0,0,169,849
11,20,1,4,533,2644
11,8,0,3,244,1252
11,5,3,1,284,1424
11,9,1,1,345,1724
11,11,4,2,500,2454
11,12,1,3,312,1590
11,11,1,1,286,1439
11,17,5,5,373,1934
11,9,3,1,325,1631
11,6,2,1,317,1579
11,13,1,2,457,2269
11,16,3,1,401,2029
11,14,7,0,478,2368
11,8,4,4,264,1368
11,14,3,2,315,1606
11,13,2,1,368,1855
11,6,0,1,189,970
11,3,0,0,175,878
11,14,4,2,297,1531
11,10,3,1,312,1589
11,13,3,1,355,1780
11,6,3,2,316,1570
11,19,4,1,316,1639
11,10,2,1,229,1177
11,5,2,1,215,1090
11,19,1,3,444,2221
11,6,0,1,221,1109
11,13,1,2,376,1884
11,6,2,1,295,1465
11,4,0,0,151,779
11,9,2,1,490,2384
11,18,3,3,394,2009
11,19,6,2,506,2555
11,10,3,5,287,1472
11,19,4,3,555,2765
11,7,5,1,257,1317
11,5,4,1,319,1567
11,2,1,0,213,1056
11,9,2,3,274,1400
11,22,4,2,472,2382
11,12,1,3,248,1274
11,19,1,7,437,2220
11,8,3,1,280,1415
11,17,2,4,385,1946
11,12,2,3,407,2040
11,11,1,2,341,1696
11,11,2,1,276,1394
11,10,3,1,382,1893
11,8,1,2,265,1337
11,11,3,2,386,1926
11,13,1,0,309,1547
11,12,3,0,326,1633
11,15,6,1,432,2153
11,7,1,1,256,1278
11,7,2,1,243,1231
11,13,2,0,341,1727
11,9,1,3,393,1948
11,11,2,5,409,2046
11,14,2,1,345,1747
11,17,4,3,509,2541
11,10,4,2,379,1895
11,15,2,7,511,2541
11,7,1,1,229,1162
11,13,2,2,342,1731
11,9,3,1,345,1725
11,16,3,1,386,1949
11,11,1,4,293,1488
11,9,0,0,190,979
11,14,1,1,323,1631
11,11,0,3,269,1358
11,9,3,2,227,1173
11,9,1,0,296,1462
11,12,2,3,358,1794
11,16,3,0,359,1814
11,8,0,2,342,1693
11,6,1,2,236,1187
11,10,0,1,270,1351
11,23,7,4,703,3484
11,11,2,1,389,1930
11,4,1,4,207,1053
11,14,1,2,457,2257
11,3,0,0,192,946
11,9,3,1,272,1364
11,14,2,1,315,1603
11,9,1,1,278,1391
11,12,3,8,439,2212
11,8,4,1,319,1603
11,10,3,6,255,1332
11,10,1,3,358,1784
11,9,1,0,197,1016
11,10,2,0,304,1537
11,11,3,1,273,1393
11,20,2,4,532,2652
11,20,3,2,492,2452
11,10,1,0,314,1560
11,11,2,1,397,1963
11,12,1,4,258,1340
11,7,0,0,230,1161
11,11,5,2,322,1645
11,17,1,1,416,2072
11,13,1,0,336,1687
11,7,2,1,280,1398
11,9,1,2,312,1565
11,13,2,1,418,2062
11,8,6,3,319,1616
11,10,2,0,353,1746
11,5,3,2,257,1287
11,11,1,3,413,2042
11,6,2,0,185,953
11,11,1,1,339,1688
11,22,3,5,560,2817
11,8,2,1,336,1669
11,9,1,2,274,1377
11,14,3,2,444,2232
11,13,3,4,470,2340
11,9,2,4,321,1616
11,9,0,2,298,1482
11,10,4,4,438,2175
11,8,0,3,330,1629
11,8,1,0,238,1187
11,20,7,2,621,3097
11,11,2,1,248,1274
11,9,1,0,287,1441
11,11,1,2,354,1755
11,10,2,5,329,1677
11,5,2,4,345,1714
11,10,4,0,285,1441
11,8,2,2,354,1746
11,8,3,1,317,1577
11,13,2,2,298,1517
11,13,4,5,460,2300
11,9,2,3,354,1756
11,15,0,2,357,1800
11,14,3,3,320,1646
11,5,0,0,182,924
11,13,4,2,368,1871
11,6,1,1,143,756
11,8,2,1,370,1822
11,5,0,1,271,1328
11,10,4,1,381,1901
11,6,1,4,307,1544
11,13,1,4,334,1685
11,9,1,0,337,1662
11,11,3,2,311,1572
11,14,2,2,279,1442
11,16,3,5,495,2480
11,15,1,5,507,2506
11,10,0,0,262,1314
11,10,2,2,307,1543
11,4,1,0,160,813
11,14,0,0,205,1073
11,9,5,3,377,1884
11,9,4,2,369,1842
11,12,2,2,322,1622
11,11,1,2,318,1602
11,12,3,2,362,1821
11,15,0,1,397,1978
11,18,5,3,482,2420
11,8,2,1,324,1608
11,7,0,1,237,1193
11,12,3,1,372,1859
11,7,5,2,321,1604
11,14,2,1,357,1804
11,7,3,1,287,1440
11,11,3,3,324,1626
11,10,2,4,283,1442
11,16,2,4,491,2448
11,17,3,5,430,2181
11,12,3,2,483,2383
11,15,2,1,408,2039
11,8,1,3,307,1536
11,6,1,1,206,1044
11,8,1,6,312,1563
11,9,1,0,191,982
11,13,0,3,277,1411
11,10,2,2,226,1171
11,5,0,1,221,1111
11,8,6,2,263,1363
11,11,2,0,322,1609
11,9,2,3,376,1862
11,11,1,3,305,1525
11,13,2,4,406,2030
11,3,1,1,257,1276
11,6,2,0,205,1040
11,14,3,0,519,2556
11,14,2,3,422,2123
11,12,3,3,350,1777
11,7,0,4,328,1638
11,5,2,1,225,1133
11,10,2,2,369,1846
11,8,1,4,408,2013
11,11,3,3,385,1928
11,17,2,2,456,2281
11,10,4,4,446,2221
11,13,4,2,578,2858
11,17,4,2,387,1967
11,10,1,0,504,2450
11,7,2,3,361,1792
11,11,1,1,329,1643
11,9,2,0,251,1268
11,3,1,1,156,801
11,13,8,3,407,2057
11,7,0,0,216,1105
11,9,1,0,205,1053
11,10,1,1,320,1611
11,3,2,0,287,1416
11,14,2,7,584,2872
11,11,4,3,412,2073
11,8,2,0,289,1438
11,16,3,3,451,2254
11,10,1,2,266,1347
11,5,1,0,229,1146
11,6,1,2,198,1018
11,9,2,1,279,1404
11,9,0,1,210,1074
11,14,1,0,323,1622
11,11,2,4,529,2596
11,10,1,3,356,1776
11,13,3,2,477,2365
11,10,3,1,336,1683
11,12,4,2,413,2070
11,11,5,2,322,1645
11,22,4,5,565,2819
11,2,2,0,225,1114
11,17,4,2,454,2276
11,16,2,2,390,1965
11,9,4,1,366,1835
11,5,0,2,353,1734
11,8,2,2,333,1661
11,14,2,3,404,2011
11,17,5,2,550,2743
11,5,3,4,467,2288
11,31,5,3,597,3028
11,9,1,5,361,1795
11,22,3,3,578,2879
11,9,2,3,305,1533
11,13,1,1,316,1596
11,10,4,1,331,1658
11,12,0,3,405,2025
11,6,1,1,198,1014
11,16,5,4,474,2370
11,9,0,3,290,1461
11,7,3,1,409,2002
11,10,1,5,436,2156
11,10,2,1,333,1670
11,12,3,0,335,1682
11,22,3,2,540,2694
11,15,3,4,438,2187
11,13,7,1,355,1814
11,12,4,3,425,2132
11,8,3,3,274,1404
11,13,3,3,403,2011
11,10,1,4,318,1598
11,21,1,3,565,2801
11,7,1,4,362,1802
11,15,0,1,297,1507
11,11,3,1,328,1644
11,16,2,4,591,2903
11,9,1,2,421,2084
11,7,2,2,273,1388
11,19,4,5,642,3199
11,17,2,2,334,1719
11,20,5,0,480,2425
11,5,3,2,198,1021
11,11,1,0,212,1095
11,13,0,2,369,1840
11,16,4,2,417,2080
11,8,0,1,280,1390
11,3,1,1,204,1015
11,11,1,0,300,1516
11,7,2,5,206,1075
11,8,4,2,274,1398
11,5,0,1,215,1074
11,3,1,0,152,775
11,12,1,0,248,1259
11,12,2,3,364,1836
11,12,3,2,341,1724
11,21,2,1,466,2332
11,20,1,0,506,2507
11,13,1,2,396,1986
11,6,3,1,398,1942
11,15,4,2,494,2440
11,12,2,3,289,1472
11,7,1,1,265,1308
11,7,0,3,335,1648
11,12,3,2,360,1815
11,6,1,6,320,1594
11,10,1,0,308,1544
11,8,4,1,267,1345
11,14,1,2,548,2679
11,19,3,4,522,2617
11,4,1,1,209,1065
11,12,0,3,430,2136
11,18,1,2,411,2072
11,9,1,1,253,1278
11,9,4,0,315,1592
11,12,0,2,278,1408
11,13,2,2,486,2391
11,10,2,2,439,2169
11,12,2,5,403,2021
11,9,2,6,303,1539
11,12,4,1,436,2154
11,6,1,1,150,774
11,7,0,0,233,1175
11,6,0,4,397,1954
11,10,2,0,320,1596
11,17,5,3,356,1836
11,8,2,3,387,1911
11,9,2,2,309,1558
11,6,2,0,346,1703
11,12,2,4,496,2417
11,13,0,3,263,1351
11,2,2,0,186,946
11,13,4,3,446,2222
11,5,1,1,216,1096
11,16,1,0,379,1887
11,12,2,1,397,1981
11,6,1,1,283,1417
11,8,3,2,254,1299
11,12,5,2,406,2051
11,9,2,2,250,1280
11,10,0,2,294,1471
11,10,4,0,406,2003
11,14,1,6,369,1873
11,8,0,0,219,1110
11,3,1,1,208,1048
11,17,2,3,440,2206
11,17,0,2,352,1786
11,15,3,2,395,1991
11,10,1,1,255,1288
11,7,0,2,276,1379
11,8,0,1,200,1009
11,7,1,0,175,897
11,6,2,3,390,1928
11,2,1,1,230,1144
11,8,4,2,295,1505
11,19,2,2,381,1945
11,15,1,2,350,1759
11,8,3,1,381,1876
11,10,2,2,338,1688
11,12,2,2,294,1500
11,12,3,2,323,1637
11,14,1,0,344,1723
11,6,5,2,353,1764
11,8,1,0,338,1668
11,7,1,0,286,1410
11,12,0,3,298,1510
11,9,1,3,250,1277
11,13,3,4,432,2153
11,14,0,2,298,1512
11,9,5,2,307,1567
11,11,0,3,329,1655
11,11,4,1,290,1476
11,9,3,3,300,1524
11,8,0,1,230,1164
11,3,3,2,263,1311
11,19,4,4,473,2388
11,11,7,2,518,2564
11,10,4,2,410,2022
11,20,2,3,480,2389
11,8,0,2,315,1567
11,12,2,0,259,1323
11,4,0,0,226,1117
11,17,3,4,518,2572
11,10,0,1,340,1679
11,7,1,0,206,1045
11,13,5,2,459,2279
11,8,1,2,268,1354
11,17,2,1,431,2140
11,8,0,2,253,1274
11,6,0,3,271,1371
11,8,2,2,290,1455
11,5,2,2,365,1789
11,13,5,3,503,2493
11,15,1,5,465,2318
11,6,2,2,303,1519
11,13,3,1,405,2012
11,6,6,3,356,1778
11,4,3,1,282,1412
11,18,2,1,450,2256
11,8,3,0,305,1521
11,10,1,1,296,1481
11,5,1,4,316,1570
11,7,2,1,310,1531
11,11,2,2,254,1310
11,9,2,5,322,1640
11,5,1,2,254,1276
11,10,3,0,429,2123
11,16,1,2,399,2001
11,18,5,4,450,2278
11,8,1,1,204,1053
11,13,3,0,442,2182
11,10,3,2,245,1260
11,16,4,3,498,2462
11,16,1,2,354,1792
11,20,4,0,430,2170
11,23,3,4,563,2833
11,12,1,3,346,1741
11,8,2,3,258,1313
11,9,1,2,222,1142
11,11,3,4,399,1983
11,14,3,2,322,1644
11,17,2,5,507,2523
11,6,1,0,280,1387
11,14,0,5,315,1619
11,13,1,3,389,1933
11,10,2,1,378,1874
11,14,1,1,400,2006
11,16,3,2,446,2230
11,6,0,1,205,1025
11,8,0,1,251,1249
11,2,1,1,244,1195
11,8,1,5,370,1841
11,14,0,0,329,1647
11,15,5,2,398,2021
11,17,4,6,368,1900
11,13,1,1,366,1820
11,17,4,2,461,2296
11,11,2,1,428,2106
11,11,1,1,335,1674
11,12,2,3,294,1505
11,14,5,1,491,2426
11,9,1,3,270,1375
11,13,2,3,381,1904
11,8,1,3,305,1537
11,9,2,1,423,2068
11,7,2,2,255,1283
11,16,2,4,401,2020
11,5,2,3,303,1502
11,24,5,2,380,1966
11,22,2,4,511,2551
11,6,2,1,274,1374
11,11,4,3,444,2206
11,12,1,1,332,1651
11,6,0,2,287,1427
11,9,0,2,252,1264
11,14,1,3,347,1755
11,8,4,4,363,1808
11,17,1,2,377,1898
11,4,0,3,114,613
11,20,4,5,510,2592
11,11,3,1,291,1480
11,17,6,2,482,2403
11,12,1,2,330,1657
11,10,0,1,268,1347
11,9,0,1,250,1261
11,10,1,2,388,1937
11,9,1,2,273,1369
11,8,3,2,274,1395
11,5,1,2,184,946
11,9,1,0,446,2180
11,12,7,2,409,2054
11,6,0,1,187,957
11,10,1,0,236,1196
11,10,4,2,477,2356
11,11,2,2,378,1895
11,11,0,3,367,1830
11,5,3,1,340,1677
11,13,0,1,287,1464
11,6,3,0,252,1277
11,14,4,3,437,2189
11,5,3,3,269,1354
11,7,1,3,430,2111
11,15,3,1,416,2078
11,15,2,3,359,1823
11,14,0,0,374,1854
11,6,2,2,343,1701
11,19,5,3,496,2484
11,11,1,1,311,1546
11,12,3,2,361,1818
11,7,0,2,258,1280
11,11,4,1,434,2156
11,20,4,4,665,3287
11,20,2,2,537,2680
11,5,2,1,319,1583
11,10,5,4,307,1561
11,15,3,2,405,2034
11,11,0,2,404,1987
11,4,0,2,198,998
11,11,0,2,403,1990
11,14,7,2,477,2385
11,17,2,5,343,1752
11,10,2,2,273,1386
11,17,3,3,485,2424
11,19,4,0,484,2405
11,17,2,3,459,2295
11,10,4,5,483,2387
11,19,1,4,467,2333
11,10,0,3,290,1445
11,18,4,3,545,2705
11,7,0,0,248,1240
11,10,6,3,403,2018
11,15,3,2,310,1589
11,11,4,2,380,1901
11,12,2,3,346,1758
11,12,3,2,356,1791
11,8,2,1,460,2258
11,4,2,1,253,1256
11,8,0,1,311,1542
11,13,4,1,375,1886
11,12,2,1,494,2407
11,9,2,1,362,1788
11,7,1,3,320,1592
11,11,0,1,305,1524
11,8,5,4,386,1935
11,16,2,1,445,2212
11,18,1,4,481,2383
11,11,2,4,367,1839
11,13,5,1,456,2248
11,6,1,4,331,1633
11,16,3,2,377,1919
11,13,1,3,426,2100
11,11,3,2,277,1420
11,7,1,4,312,1560
11,17,4,6,438,2223
11,7,0,1,340,1663
11,15,4,3,565,2802
11,10,2,3,390,1944
11,2,0,1,215,1074
11,8,0,0,330,1613
11,5,2,3,493,2389
11,15,1,3,352,1777
11,8,2,4,302,1531
11,19,4,3,508,2548
11,16,1,2,313,1590
11,16,2,1,405,2020
11,7,3,0,321,1591
11,4,2,1,264,1306
11,6,2,2,243,1228
11,7,1,4,303,1518
11,17,3,3,572,2845
11,9,4,3,349,1746
11,3,0,2,169,861
11,22,2,1,436,2204
11,7,1,2,387,1917
11,18,5,2,517,2577
11,11,2,0,360,1792
11,11,3,2,457,2269
11,13,0,1,451,2218
11,6,2,0,331,1626
11,8,1,1,303,1514
11,4,0,0,173,872
11,17,3,0,389,1942
11,7,5,2,423,2095
11,8,1,1,266,1331
11,14,0,0,389,1934
11,6,1,2,286,1413
11,9,4,2,393,1957
11,13,4,0,330,1675
11,6,2,0,315,1562
11,6,4,0,254,1266
11,11,2,2,311,1575
11,14,5,2,483,2404
11,11,1,5,348,1762
11,14,2,2,352,1767
11,8,0,3,230,1168
11,8,0,4,209,1087
11,4,0,2,197,995
11,14,2,3,411,2048
11,7,2,5,424,2093
11,15,2,3,447,2252
11,10,4,1,314,1587
11,11,1,2,159,850
11,24,3,0,460,2318
11,10,1,3,319,1595
11,9,1,2,296,1474
11,18,4,6,379,1961
11,12,1,3,424,2102
11,9,1,3,332,1648
11,16,2,5,639,3146
11,14,3,2,377,1903
11,5,3,1,306,1518
11,5,2,0,216,1086
11,15,5,3,438,2202
11,11,6,0,290,1485
11,11,0,3,377,1896
11,8,0,0,206,1045
11,7,3,3,346,1724
11,6,5,2,293,1470
11,6,3,1,307,1529
11,11,0,0,274,1382
11,12,2,3,390,1956
11,15,5,2,353,1790
11,20,1,3,512,2556
11,5,1,1,215,1083
11,17,1,4,483,2409
11,14,4,0,409,2039
11,8,0,2,252,1271
11,14,3,2,455,2262
11,7,4,3,244,1247
11,15,4,4,470,2342
11,6,3,0,218,1113
11,9,5,6,401,2026
11,9,1,1,282,1408
11,10,1,0,295,1474
11,13,2,0,388,1922
11,8,0,0,259,1292
11,15,9,1,592,2918
