"Legendary 1","Legendary 2","Legendary 3","Off-Color Legendary 1","Off-Color Legendary 2","Off-Color Legendary 3","Trash","OrbSpent"
11,8,12,3,2,3,356,1828
11,17,10,3,4,2,518,2621
11,6,9,1,2,4,343,1752
11,8,7,2,2,1,395,1987
11,15,12,2,4,3,463,2384
11,19,17,0,4,4,559,2882
11,15,12,3,2,4,525,2689
11,5,6,0,2,2,283,1445
11,5,12,2,0,3,349,1767
11,5,9,2,2,1,242,1260
11,12,8,2,1,1,366,1861
11,11,11,3,4,2,505,2549
11,13,18,0,0,5,425,2190
11,9,12,1,4,0,438,2215
11,6,9,2,1,1,259,1344
11,7,13,4,2,3,384,1988
11,15,13,1,6,2,556,2817
11,8,9,1,3,2,404,2040
11,24,13,4,7,2,621,3177
11,14,16,1,2,1,459,2340
11,5,7,0,0,1,307,1532
11,19,12,3,3,5,648,3277
11,9,4,2,1,0,294,1497
11,30,11,2,6,6,764,3883
11,6,7,1,4,0,340,1720
11,12,12,0,1,1,410,2079
11,18,14,3,3,6,670,3386
11,15,17,1,3,3,440,2278
11,11,7,1,1,6,411,2097
11,13,21,1,4,2,511,2622
11,8,14,0,2,2,488,2459
11,7,9,3,2,1,370,1884
11,27,17,2,3,4,606,3124
11,4,12,2,3,4,521,2597
11,9,12,2,0,3,400,2037
11,23,9,3,1,3,582,2951
11,6,11,4,2,2,292,1521
11,16,11,1,3,2,531,2687
11,10,8,1,0,0,350,1764
11,15,25,3,0,2,594,3039
11,13,14,2,2,0,438,2225
11,7,16,2,0,2,430,2180
11,12,16,4,2,3,492,2502
11,18,15,5,2,3,448,2356
11,16,9,3,2,4,535,2704
11,15,7,0,2,1,335,1720
11,5,7,1,2,2,306,1565
11,7,7,0,0,2,323,1627
11,19,8,1,2,2,406,2092
11,11,9,1,5,2,311,1630
11,19,23,1,1,1,544,2786
11,12,9,2,4,0,540,2690
11,16,14,5,2,2,565,2880
11,18,13,3,2,4,544,2778
11,14,10,1,2,5,491,2501
11,12,13,2,0,0,457,2307
11,11,11,3,4,0,467,2372
11,18,3,5,3,1,461,2339
11,12,9,2,2,3,374,1922
11,7,7,0,2,3,307,1571
11,10,10,4,1,3,452,2295
11,11,8,3,4,1,433,2215
11,10,7,2,3,1,359,1831
11,11,11,2,4,3,433,2211
11,16,24,4,1,4,806,4039
11,9,6,5,1,2,435,2189
11,7,11,3,3,2,498,2498
11,27,13,1,2,3,705,3566
11,9,12,1,2,4,410,2089
11,7,10,1,1,5,346,1776
11,6,9,3,2,3,433,2176
11,3,8,5,0,1,199,1050
11,9,9,2,3,0,399,2027
11,10,7,3,2,1,416,2109
11,6,15,1,3,2,370,1910
11,14,12,7,3,2,490,2516
11,7,7,1,2,1,258,1334
11,11,13,2,1,1,315,1645
11,10,7,1,3,3,348,1783
11,10,13,1,3,5,486,2479
11,10,8,0,3,0,291,1508
11,5,9,2,2,2,312,1590
11,8,12,1,2,2,369,1901
11,17,20,5,5,0,583,2994
11,18,13,1,2,2,525,2661
11,6,7,0,3,2,259,1339
11,9,10,2,3,4,324,1692
11,13,6,3,0,3,341,1762
11,7,9,3,2,2,386,1949
11,14,16,3,5,0,527,2688
11,12,17,4,0,4,513,2615
11,6,5,2,3,3,320,1635
11,12,13,1,3,2,375,1936
11,8,9,2,0,0,230,1213
11,18,17,7,3,5,529,2746
11,5,7,2,2,2,223,1165
11,10,8,3,5,2,419,2150
11,9,13,1,0,1,323,1664
11,18,15,2,4,4,494,2561
11,10,2,1,0,1,246,1249
11,13,10,1,4,4,376,1960
11,9,12,1,3,2,446,2259
11,17,11,1,5,2,481,2466
11,12,11,2,4,4,479,2435
11,5,12,1,2,2,312,1603
11,9,15,2,2,2,484,2461
11,6,8,0,4,1,293,1505
11,9,11,0,1,2,395,2001
11,8,14,0,1,1,423,2126
11,11,12,2,1,1,323,1682
11,13,13,2,2,5,407,2106
11,13,6,1,1,2,328,1681
11,12,13,2,6,2,534,2708
11,17,11,1,3,3,372,1945
11,8,12,0,1,0,337,1709
11,5,6,2,1,1,303,1537
11,8,9,3,1,1,407,2050
11,8,5,0,3,3,379,1921
11,13,12,0,4,1,479,2406
11,7,1,2,0,1,188,974
11,15,10,3,1,2,430,2200
11,4,5,3,2,2,292,1483
11,18,13,2,4,2,526,2681
11,9,16,6,0,1,493,2499
11,11,6,4,2,2,395,2013
11,7,6,1,6,2,343,1755
11,3,10,0,4,0,391,1959
11,8,3,2,2,3,329,1663
11,3,12,3,0,1,203,1097
11,5,9,2,2,0,251,1308
11,19,19,4,2,6,592,3051
11,7,14,1,2,4,373,1922
11,10,5,2,4,1,327,1676
11,13,16,0,1,0,514,2576
11,12,11,5,5,3,467,2406
11,11,8,1,0,2,350,1786
11,8,9,1,4,0,385,1939
11,5,3,1,2,1,176,936
11,13,5,2,0,0,361,1823
11,10,8,0,0,3,280,1465
11,14,26,2,3,7,604,3130
11,8,12,0,0,1,270,1406
11,18,13,1,0,3,473,2419
11,9,10,2,2,0,275,1435
11,9,15,4,2,1,465,2373
11,8,7,0,1,1,277,1419
11,11,11,2,1,1,440,2215
11,8,15,3,2,2,405,2078
11,10,9,2,2,0,399,2023
11,8,11,3,1,1,357,1831
11,13,13,1,0,0,411,2101
11,11,18,5,3,3,564,2883
11,17,9,0,3,6,589,2955
11,9,7,0,2,1,263,1363
11,9,6,4,1,0,209,1102
11,10,5,2,2,0,325,1656
11,11,6,3,1,1,331,1691
11,16,6,3,4,3,397,2040
11,14,11,1,0,1,408,2087
11,17,6,4,1,0,451,2289
11,19,10,4,4,0,419,2172
11,10,3,1,0,0,305,1528
11,13,9,0,0,2,359,1828
11,5,5,0,1,2,165,873
11,6,8,2,2,0,309,1572
11,19,23,3,1,4,615,3154
11,8,19,1,2,2,375,1948
11,4,4,2,2,0,167,888
11,5,8,2,2,3,302,1547
11,13,8,2,1,2,430,2167
11,10,16,1,2,4,355,1863
11,13,11,3,2,4,371,1934
11,10,12,1,2,1,532,2657
11,11,9,0,1,1,390,1977
11,10,14,3,1,2,525,2651
11,9,13,2,1,3,454,2296
11,6,11,0,0,2,353,1776
11,6,6,3,2,2,331,1697
11,18,18,1,3,1,562,2849
11,8,9,0,3,1,404,2023
11,8,7,2,2,1,354,1787
11,10,6,3,3,1,363,1858
11,8,8,1,3,0,395,1979
11,8,6,1,3,3,365,1833
